trigger_type,model_index,anomaly_metric,poisoned,ldef
badnet,1,7.132518918837466,True,2
badnet,2,6.718545283445861,True,2
badnet,3,8.717304433681148,True,2
badnet,4,1.6361299372618736,True,2
badnet,5,2.336774277034227,True,2
badnet,6,26.033957788899645,True,2
badnet,7,6.70322136340064,True,2
badnet,8,1.2032627258099655,True,2
badnet,9,6.7501746428749305,True,2
badnet,10,0.5549618514671233,True,2
blended,1,10.85439878390872,True,2
blended,2,1.7873636568209954,True,2
blended,3,11.999700840121845,True,2
blended,4,8.922180165379142,True,2
blended,5,209.1639559669159,True,2
blended,6,3.841385630186915,True,2
blended,7,1.001233998454928,True,2
blended,8,6.302304342322247,True,2
blended,9,7.778462882811309,True,2
blended,10,2.970106622531981,True,2
bpp,1,1.6975045052720292,True,2
bpp,2,10.3372686624488,True,2
bpp,3,21.398302997078773,True,2
bpp,4,0.1496185588406525,True,2
bpp,5,1.0890690726702046,True,2
bpp,6,2.859152502223284,True,2
bpp,7,1.2696486278869876,True,2
bpp,8,3.037901342273226,True,2
bpp,9,1.013622771420457,True,2
bpp,10,1.373652955445675,True,2
sig,1,5.777808616759125,True,2
sig,2,2.520557774741796,True,2
sig,3,1.212591114419398,True,2
sig,4,0.1843915828353094,True,2
sig,5,15.681646844055654,True,2
sig,6,17.065159171490766,True,2
sig,7,7.002670738635209,True,2
sig,8,8.36569970250168,True,2
sig,9,244.87896496375004,True,2
sig,10,5.133216961938776,True,2
input_aware,1,0.8639766766521231,True,2
input_aware,2,3.798426940464811,True,2
input_aware,3,2.65604204694776,True,2
input_aware,4,3.925801378386365,True,2
input_aware,5,1.736148946924363,True,2
input_aware,6,0.7558661440202287,True,2
input_aware,7,4.223297473660208,True,2
input_aware,8,0.1587121269457758,True,2
input_aware,10,0.7268688412327244,True,2
warped,1,1.638524401708109,True,2
warped,2,1.5706450634466218,True,2
warped,3,2.019033568059048,True,2
warped,4,1.0623068120243704,True,2
warped,5,3.064258225688841,True,2
warped,6,6.643770431267713,True,2
warped,7,3.3798193496389013,True,2
warped,8,0.9430757524598248,True,2
warped,9,1.9059214914636256,True,2
warped,10,11.752425811315742,True,2
clean,1,0.3307173387319417,False,2
clean,2,14.904426599867897,False,2
clean,3,1.4929487229683616,False,2
clean,4,14.537620420481971,False,2
clean,5,0.604446201785592,False,2
clean,6,170.3242008361543,False,2
clean,7,2.063905010497761,False,2
clean,8,10.38403188387108,False,2
clean,9,258.1470627492821,False,2
clean,10,2.9343114227180696,False,2
clean,11,5.44374889293442,False,2
clean,12,0.4657535899495983,False,2
clean,13,25.832128252859476,False,2
clean,14,2.230087332817833,False,2
clean,15,7.2103243953455936,False,2
clean,16,269.2543537919113,False,2
clean,17,6.571285718165615,False,2
clean,18,0.875940948218762,False,2
clean,19,1.986018209597444,False,2
clean,20,1.6677682517650414,False,2
clean,21,1.4725559438066922,False,2
clean,22,0.772612593150726,False,2
clean,23,2.572795991062381,False,2
clean,24,5.025212313835498,False,2
clean,25,7.776508680465369,False,2
clean,26,10.619850187580171,False,2
clean,27,1.7595806847757332,False,2
clean,28,1.1146750127885048,False,2
clean,29,9.2875555472972,False,2
clean,30,5.324242861777472,False,2
clean,31,1.5868220354760614,False,2
clean,32,0.4265250914540193,False,2
clean,33,18.793133925125108,False,2
clean,34,6.469998367038243,False,2
clean,35,5.926277541934599,False,2
clean,36,43.34821404241308,False,2
clean,37,1.7127597141380486,False,2
clean,38,9.672516676373752,False,2
clean,39,4.002575578167793,False,2
clean,40,10.336866401222968,False,2
clean,41,0.9702510331292996,False,2
clean,42,2.9307712836390696,False,2
clean,43,1.3537350278398503,False,2
clean,44,13.007160543910366,False,2
clean,45,2.5279369816219863,False,2
clean,46,2.5444346576128187,False,2
clean,47,1.707810046992311,False,2
clean,48,12.714714155409355,False,2
clean,49,12.20015463409078,False,2
clean,50,0.8644050718614446,False,2
clean,51,1.51500047647926,False,2
clean,52,1.3103729134872335,False,2
clean,53,5380.014689538788,False,2
clean,54,3.68689749895612,False,2
clean,55,0.5718570080029949,False,2
clean,56,0.5450560284195175,False,2
clean,57,1.0430525011690188,False,2
clean,58,5.596250801489509,False,2
clean,59,1.5175500172750735,False,2
clean,60,1.8098526081552224,False,2
